"Admiterile la tratament, în funcție de drogul principal de consum și de condițiile de locuit - tipul locuinței",,,,,,,,,,,,,
,1. locuință stabilă,"2. locuință instabilă și/ sau 
 fără locuință",3. în detenție,4. altele,99. nu știu/ lipsă,Total,,,,,,,
1. Opioide (Total),750,23,49,6,10,838,,,,,,,
2. Cocaină (Total),79,1,7,7,1,95,,,,,,,
3. Stimulanți (alții decât cocaina) (Total),110,0,1,4,4,119,,,,,,,
4. Hipnotice și sedative (Total),44,0,2,0,1,47,,,,,,,
5. Halucinogene (Total),15,0,0,0,0,15,,,,,,,
6. Substanțe volatile/ inhalanți,10,5,0,0,1,16,,,,,,,
7. Canabis (Total),1783,15,47,70,12,1927,,,,,,,
8. Alte substanțe (Total),305,29,14,21,14,383,,,,,,,
TOTAL,3096,73,120,108,43,3440,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și nivelul educațional",,,,,,,,,,,,,
,"1. nu a fost niciodată la școală/ studii primare incomplete 
 (ISCED 0)","2. studii primare absolvite
 (ISCED 1)","3. studii secundare absolvite
 (ISCED 2 
 și ISCED 3)","4. studii superioare absolvite
 (ISCED 4 
 până la ISCED 6)",99. nu știu/ lipsă,Total,,,,,,,
1. Opioide (Total),151,279,334,39,35,838,,,,,,,
2. Cocaină (Total),11,20,62,1,1,95,,,,,,,
3. Stimulanți (alții decât cocaina) (Total),2,11,95,4,7,119,,,,,,,
4. Hipnotice și sedative (Total),2,7,27,4,7,47,,,,,,,
5. Halucinogene (Total),0,2,13,0,0,15,,,,,,,
6. Substanțe volatile/ inhalanți,8,6,1,0,1,16,,,,,,,
7. Canabis (Total),82,337,1410,65,33,1927,,,,,,,
8. Alte substanțe (Total),59,130,152,5,37,383,,,,,,,
TOTAL,315,792,2094,118,121,3440,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Admiterile la tratament, în funcție de drogul principal de consum și statusul ocupațional",,,,,,,,,,,,,
,1. angajat ocazional,2. angajat permanent,3. elev/ student,4. șomer/ fără ocupație,"5. asistat social/ 
 pensionar/ 
 casnic/ 
 pensionar medical",6. altele,99. nu știu/ lipsă,Total,,,,,
1. Opioide (Total),155,111,19,15,5,2,531,838,,,,,
2. Cocaină (Total),27,8,6,1,0,2,51,95,,,,,
3. Stimulanți (alții decât cocaina) (Total),59,5,21,3,1,0,30,119,,,,,
4. Hipnotice și sedative (Total),9,3,4,1,0,1,29,47,,,,,
5. Halucinogene (Total),4,2,4,1,0,0,4,15,,,,,
6. Substanțe volatile/ inhalanți,0,3,4,0,0,0,9,16,,,,,
7. Canabis (Total),792,164,423,81,5,0,462,1927,,,,,
8. Alte substanțe (Total),52,26,60,34,2,0,209,383,,,,,
TOTAL,1098,322,541,136,13,5,1325,3440,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Urgențe medicale datorate consumului de droguri,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și sex",,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,
Masculin,490,149,139,438,,,,,,,,,
Feminin,99,42,42,73,,,,,,,,,
,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și vârstă",,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,
<25,343,93,54,295,,,,,,,,,
25-34,187,69,58,160,,,,,,,,,
>35,59,29,69,56,,,,,,,,,
,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și calea de administrare",,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,
Oral/fumat/prizat,571,180,101,375,,,,,,,,,
Altele,18,11,5,111,,,,,,,,,
Injectabil,0,0,75,25,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și diagnosticul de urgență",,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,
Intoxicație,296,106,38,305,,,,,,,,,
Utilizare nocivă,71,25,17,56,,,,,,,,,
Dependență,58,16,85,64,,,,,,,,,
Sevraj,11,4,26,13,,,,,,,,,
Tulburări de comportament,116,32,10,67,,,,,,,,,
Supradoză,1,0,2,0,,,,,,,,,
Testare toxicologică,36,8,3,6,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Boli infecțioase asociate consumului de droguri injectabile,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Prevalența VHC în funcție de sex,Masculin,Feminin,Total,,,,,,,,,,
Rezultate pozitive la testare,100,26,126,,,,,,,,,,
Număr persoane testate,134,39,173,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Prevalența HIV în funcție de sex,Masculin,Feminin,Total,,,,,,,,,,
Rezultate pozitive la testare,28,7,35,,,,,,,,,,
Număr persoane testate,133,39,172,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Prevalența VHB în funcție de sex,Masculin,Feminin,Total,,,,,,,,,,
Rezultate pozitive la testare,4,1,5,,,,,,,,,,
Număr persoane testate,131,39,170,,,,,,,,,,
