,,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și calea de administrare",,,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,,
Oral/fumat/prizat,608,224,108,573,,,,,,,,,,
Altele,0,0,0,0,,,,,,,,,,
Injectabil,0,2,47,20,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și diagnosticul de urgență",,,,,,,,,,,,,,
,Canabis,Stimulanți,Opiacee,NSP,,,,,,,,,,
Intoxicație,239,109,47,367,,,,,,,,,,
Utilizare nocivă,101,32,32,43,,,,,,,,,,
Dependență,63,23,39,67,,,,,,,,,,
Sevraj,16,10,17,5,,,,,,,,,,
Tulburări de comportament,137,38,15,105,,,,,,,,,,
Supradoză,0,2,3,0,,,,,,,,,,
Testare toxicologică,52,12,2,6,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Boli infecțioase asociate consumului de droguri injectabile,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Prevalența VHC în funcție de sex,Masculin,Feminin,Total,,,,,,,,,,,
Rezultate pozitive la testare,76,16,92,,,,,,,,,,,
Număr persoane testate,110,24,134,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Prevalența HIV în funcție de sex,Masculin,Feminin,Total,,,,,,,,,,,
Rezultate pozitive la testare,19,9,28,,,,,,,,,,,
Număr persoane testate,108,26,134,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Prevalența VHB în funcție de sex,Masculin,Feminin,Total,,,,,,,,,,,
Rezultate pozitive la testare,10,0,10,,,,,,,,,,,
Număr persoane testate,108,24,132,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"SITUAŢIA CONFISCĂRILOR DE DROGURI REALIZATE ÎN ROMÂNIA, 
 ÎN PERIOADA IANUARIE - DECEMBRIE 2021",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Grame,Comprimate,Doze/Buc,Mililitri,Nr. Capturi,,,,,,,,,
Heroină,1437392.05,,,,244,,,,,,,,,
Cocaină,874727.27,,,,541,,,,,,,,,
Amfetamină,8374.68,83,,2.6,283,,,,,,,,,
Metamfetamină,1383.53,203,,,23,,,,,,,,,
MDMA,2677.23,48594,,,634,,,,,,,,,
Metadonă,15.34,961,,254,93,,,,,,,,,
Oxicodonă,0.05,610,,,5,,,,,,,,,
Morfină,50.86,66,,50,6,,,,,,,,,
LSD,3.62,,1541,4.7,55,,,,,,,,,
Codeină,04.06,215,,,7,,,,,,,,,
Ciuperci halucinogene,657.25,,,,36,,,,,,,,,
Canabinoizi sintetici,861.22,,,,4,,,,,,,,,
Catinone,112.44,,,,16,,,,,,,,,
2C-X,2.41,459,,,20,,,,,,,,,
Cactus/Mescalină,133.56,10,,,2,,,,,,,,,
Triptamine,47.89,55,,,9,,,,,,,,,
ALTELE,,30,,40,4,,,,,,,,,
Canabis,498009.35,,,,3531,,,,,,,,,
Rezină de canabis,6136.55,,,,80,,,,,,,,,
Ulei de canbis,,,,14.3,3,,,,,,,,,
Ketamină,1905.19,,,125.5,77,,,,,,,,,
Benzodiazepine,3.53,3940,,33,139,,,,,,,,,
Barbiturice,1,,,,1,,,,,,,,,
Buprenorfină,,1,,,1,,,,,,,,,
Zolpidem,,147,,,6,,,,,,,,,
Amfepramonă,,2124,,,7,,,,,,,,,
Mitraginină,2,,,,1,,,,,,,,,
ALTELE,48.75,,,4047.86,20,,,,,,,,,
Masă plante de cababis,3586348.2,,,,140,,,,,,,,,
Fragmente vegetale cu THC,1341889.55,,,,270,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"PERSOANE CERCETATE, TRIMISE ÎN JUDECATĂ ȘI CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Persoane cercetate,10102,,,,,,,,,,,,,
Persoane trimise în judecată,2413,,,,,,,,,,,,,
Persoane condamnate,1031,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021, PE ÎNCADRARE JURIDICĂ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Art.2 din Legea nr. 143/2000,559,,,,,,,,,,,,,
Art.3 din Legea nr. 143/2000,54,,,,,,,,,,,,,
Art.4 din Legea nr. 143/2000,354,,,,,,,,,,,,,
Art.7 din Legea nr. 143/2000,1,,,,,,,,,,,,,
Legea nr. 194/2011,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021, PE SEXE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Majori,Minori,,,,,,,,,,,,
Bărbați,878,4,,,,,,,,,,,,
Femei,146,3,,,,,,,,,,,,
,,,,,,,,,,,,,,
SITUAȚIA GRUPĂRILOR INFRACȚIONALE IDENTIFICATE ÎN PERIOADA IANUARIE - DECEMBRIE 2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Grupări identificate,52,,,,,,,,,,,,,
Număr persoane implicate în grupări,412,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SITUAȚIA PEDEPSELOR APLICATE PENTRU INFRACȚIUNI LA REGIMUL DROGURILOR ÎN PERIOADA IANUARIE - DECEMBRIE 2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Legea nr. 143/2000,Legea nr. 194/2011,,,,,,,,,,,,
Executarea pedepsei,299,35,,,,,,,,,,,,
Suspendarea pedepsei,482,27,,,,,,,,,,,,
Amendă penală,118,0,,,,,,,,,,,,
Amânarea executării pedepsei,69,1,,,,,,,,,,,,
Măsuri neprivative de libertate-minori,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PROIECTE NAȚIONALE (anul școlar 2020-2021),Nr. beneficiari,,,,,,,,,,,,,
CUM SĂ CREŞTEM SĂNĂTOŞI -7 activități/proiect (Nivel preșcolar),17530,,,,,,,,,,,,,
ABC-UL EMOŢIILOR-6 activități/proiect (Nivel primar),18781,,,,,,,,,,,,,
NECENZURAT-12 activități/proiect (Nivel gimnazial),12638,,,,,,,,,,,,,
FRED GOES NET- minimum 8 ore/proiect (Nivel liceal),177,,,,,,,,,,,,,
MESAJUL MEU ANTIDROG (Nivel gimnazial și liceal ),4005,,,,,,,,,,,,,
EU ŞI COPILUL MEU-9 activități/proiect (adresat părinților),1676,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CAMPANII NAȚIONALE- 2021,Nr. beneficiari,,,,,,,,,,,,,
Campania naţională media de prevenire a consumului de substanţe noi cu proprietăţi psihoactive în cadrul populaţiei şcolare şi părinţilor – FII LIBER! (martie 2020 - iunie 2021),79947,,,,,,,,,,,,,
"Campania națională de informare privind riscurile consumului de tutun și beneficiile renunțării la fumat RENUNȚI ȘI CÂȘTIGI, derulată în perioada 21 mai-11 iunie 2021 și marcarea ZILEI MONDIALE FĂRĂ TUTUN, 31 mai 2021",17059,,,,,,,,,,,,,
Campania 19 ZILE DE PREVENIRE A ABUZURILOR ȘI VIOLENȚELOR ASUPRA COPIILOR ȘI TINERILOR (01-19 noiembrie 2021),4559,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACTIVITĂȚI DE PREVENIRE,Nr. activități,Nr. copii,Nr. părinți,Nr. cadre didactice,,,,,,,,,,
În mediul preşcolar,2043,24064,2405,1839,,,,,,,,,,
"În mediul primar, gimnazial şi liceal",6977,126794,6393,8754,,,,,,,,,,
În mediul universitar,53,1572,-,80,,,,,,,,,,
În familie,682,-,49633,-,,,,,,,,,,
În comunitate,1758,117779 persoane,,,,,,,,,,,,
